group,n,approval_rate,mean_predicted_default,observed_default_rate,good_applicants,good_approval_rate,defaulted_applicants,bad_approval_rate,adverse_impact_ratio,below_four_fifths
902xx,871,0.9644087256027555,0.19618593714448787,0.18484500574052812,710.0,0.9802816901408451,161.0,0.8944099378881988,0.9827534567962862,False
300xx,1883,0.9644184811471057,0.19179685763806903,0.16250663834306958,1577.0,0.9803424223208624,306.0,0.8823529411764706,0.9827633979080561,False
945xx,2264,0.9646643109540636,0.19390440559793246,0.18286219081272084,1850.0,0.9794594594594594,414.0,0.8985507246376812,0.9830139038254725,False
940xx,710,0.9647887323943662,0.18956946690937543,0.16901408450704225,590.0,0.9745762711864406,120.0,0.9166666666666666,0.9831406919779548,False
064xx,628,0.964968152866242,0.1856064951102485,0.16401273885350318,525.0,0.9733333333333334,103.0,0.9223300970873787,0.9833235253392413,False
920xx,974,0.9650924024640657,0.19772220583268002,0.2053388090349076,774.0,0.9819121447028424,200.0,0.9,0.9834501383805018,False
301xx,946,0.9651162790697675,0.2028872225816815,0.1744186046511628,781.0,0.9884763124199744,165.0,0.8545454545454545,0.9834744691607685,False
950xx,603,0.9651741293532339,0.18198691705516126,0.1724709784411277,499.0,0.9799599198396793,104.0,0.8942307692307693,0.9835334198572356,False
330xx,1485,0.9656565656565657,0.21344663113352286,0.2383838383838384,1131.0,0.9840848806366048,354.0,0.9067796610169492,0.9840250329380764,False
333xx,793,0.9659520807061791,0.2023019976089383,0.2244640605296343,615.0,0.9869918699186991,178.0,0.8932584269662921,0.9843261691978727,False
600xx,941,0.9659936238044633,0.18622571249977643,0.18384697130712008,768.0,0.9817708333333334,173.0,0.8959537572254336,0.9843685025181352,False
207xx,883,0.9660249150622876,0.19696951886511763,0.24122310305775765,670.0,0.9835820895522388,213.0,0.9107981220657277,0.984400388990103,False
958xx,745,0.9664429530201343,0.2048988146860128,0.1906040268456376,603.0,0.9751243781094527,142.0,0.9295774647887324,0.9848263787569304,False
606xx,1855,0.9665768194070081,0.19354172326857605,0.17412398921832883,1532.0,0.9849869451697127,323.0,0.8792569659442725,0.9849627915152936,False
088xx,869,0.9666283084004603,0.19770922761501408,0.21058688147295743,686.0,0.9854227405247813,183.0,0.8961748633879781,0.9850152599189473,False
913xx,1182,0.9670050761421319,0.19484218381142676,0.20304568527918782,942.0,0.9840764331210191,240.0,0.9,0.9853991944383138,False
930xx,524,0.9675572519083969,0.19560256828778402,0.1717557251908397,434.0,0.9815668202764977,90.0,0.9,0.9859618735479588,False
028xx,562,0.9679715302491103,0.19787633286187056,0.1601423487544484,472.0,0.9788135593220338,90.0,0.9111111111111111,0.9863840321831967,False
983xx,533,0.9681050656660413,0.20223616303943467,0.15196998123827393,452.0,0.9823008849557522,81.0,0.8888888888888888,0.9865201076759932,False
601xx,1041,0.968299711815562,0.19132075510488805,0.17098943323727187,863.0,0.9837775202780996,178.0,0.8932584269662921,0.9867184563337928,False
605xx,727,0.9683631361760661,0.19001017128238135,0.16368638239339753,608.0,0.9851973684210527,119.0,0.8823529411764706,0.986783087135937,False
775xx,734,0.9686648501362398,0.1914243382672697,0.20299727520435967,585.0,0.9811965811965812,149.0,0.9194630872483222,0.9870905402203531,False
840xx,767,0.9687092568448501,0.1999468472836287,0.15514993481095177,648.0,0.9753086419753086,119.0,0.9327731092436975,0.9871357916217902,False
857xx,544,0.96875,0.19604963793932567,0.20036764705882354,435.0,0.9816091954022989,109.0,0.9174311926605505,0.9871773097826088,False
483xx,678,0.9690265486725663,0.19430934552698675,0.20943952802359883,536.0,0.9813432835820896,142.0,0.9225352112676056,0.9874591188918815,False
430xx,649,0.9691833590138675,0.19154292336382975,0.18181818181818182,531.0,0.9849340866290018,118.0,0.8983050847457628,0.9876189120385879,False
303xx,686,0.9693877551020408,0.19162308283896892,0.16034985422740525,576.0,0.9756944444444444,110.0,0.9363636363636364,0.9878271960958297,False
970xx,560,0.9696428571428571,0.19474106945054503,0.14464285714285716,479.0,0.9895615866388309,81.0,0.8518518518518519,0.9880871506211181,False
